cpf,hora,data,produto,preço,quantidade,pdv,operadora,operação,total
207.651.839-86,18:36,04/07/2023,File de frango,19.2,10,17,Maria Luiza,dinheiro,192.0
426.301.598-33,13:58,21/07/2023,Vinho,17.7,7,21,Milena,cartão_credito,123.9
384.071.659-48,21:56,12/07/2023,File de frango,19.2,7,12,Natália,dinheiro,134.4
840.617.235-53,19:46,08/07/2023,Escova dental,15.5,5,5,Brenda,dinheiro,77.5
890.234.517-32,08:59,26/07/2023,Farinha,2.7,10,10,Natália,pix,27.0
857.132.409-32,16:12,05/07/2023,Vinho,17.7,7,15,Brenda,dinheiro,123.9
207.651.839-86,13:00,14/07/2023,Esponja de aço,5.5,2,13,Maria Julia,cartão_debito,11.0
715.408.269-02,17:08,04/07/2023,Picanha,50.4,7,2,Isadora,pix,352.8
384.071.659-48,19:17,06/07/2023,Morango,7.5,3,1,Ana,cartão_debito,22.5
130.294.586-60,16:50,15/07/2023,Açúcar,25.5,2,9,Ana,pix,51.0
901.765.842-85,19:49,16/07/2023,Cerveja,7.5,8,11,Stephany,pix,60.0
901.648.527-94,21:27,04/07/2023,Tomate,8.2,1,6,Isadora,cartão_debito,8.2
718.296.305-12,11:04,02/07/2023,Arroz,21.7,3,19,Maria Cecília,cartão_credito,65.1
138.456.920-06,15:59,08/07/2023,Esponja de aço,5.5,2,8,Milena,pix,11.0
840.617.235-53,08:06,18/07/2023,File de frango,19.2,6,16,Maria Luiza,cartão_debito,115.2
529.834.061-05,08:46,23/07/2023,Linguiça frango,9.7,4,5,Maria Luiza,dinheiro,38.8
823.570.469-29,10:00,25/07/2023,Óleo de cozinha,8.9,5,12,Stephany,pix,44.5
138.456.920-06,16:55,24/07/2023,Tomate,8.2,3,18,Natália,dinheiro,24.6
963.128.074-87,08:54,03/07/2023,Morango,7.5,4,12,Ana,cartão_credito,30.0
791.230.458-41,12:10,29/07/2023,Picanha,50.4,7,1,Isadora,cartão_credito,352.8
695.281.740-94,14:16,29/07/2023,Alcatra,45.7,6,19,Ana,cartão_credito,274.2
064.379.815-39,08:44,13/07/2023,Picanha,50.4,3,5,Maria Luiza,dinheiro,151.2
593.641.287-37,16:26,24/07/2023,Óleo de cozinha,8.9,4,8,Stephany,cartão_credito,35.6
890.234.517-32,20:55,23/07/2023,Vinho,17.7,8,5,Natália,cartão_debito,141.6
065.138.274-26,15:03,22/07/2023,Feijão,15.5,4,13,Stephany,cartão_debito,62.0
805.473.962-10,08:37,28/07/2023,Escova dental,15.5,5,6,Milena,cartão_debito,77.5
034.278.591-50,14:28,11/07/2023,Arroz,21.7,3,16,Maria Luiza,dinheiro,65.1
614.297.038-22,21:27,21/07/2023,Ovos,18.2,1,18,Natália,dinheiro,18.2
207.651.839-86,22:20,21/07/2023,Ovos,18.2,9,2,Maria Luiza,cartão_credito,163.8
840.617.235-53,21:21,04/07/2023,Feijão,15.5,1,2,Milena,cartão_credito,15.5
853.164.790-84,10:07,17/07/2023,Escova dental,15.5,9,8,Ana,cartão_credito,139.5
254.193.867-55,13:31,26/07/2023,Alcatra,45.7,10,21,Maria Luiza,cartão_debito,457.0
906.172.385-02,14:04,05/07/2023,Tomate,8.2,9,11,Maria Julia,dinheiro,73.8
860.357.192-95,08:35,29/07/2023,Cafe,9.5,10,8,Maria Luiza,cartão_debito,95.0
985.364.701-00,16:09,20/07/2023,Linguiça frango,9.7,3,4,Stephany,pix,29.1
614.297.038-22,18:03,22/07/2023,Esponja de aço,5.5,5,2,Caroline,cartão_credito,27.5
723.510.694-80,10:10,16/07/2023,Óleo de cozinha,8.9,2,4,Isadora,pix,17.8
109.783.654-10,17:18,22/07/2023,Alcatra,45.7,7,3,Maria Cecília,dinheiro,319.9
564.823.109-15,10:00,22/07/2023,Arroz,21.7,5,8,Isadora,pix,108.5
468.307.129-04,22:35,02/07/2023,Escova dental,15.5,3,18,Maria Julia,pix,46.5
521.364.079-61,19:49,15/07/2023,Cafe,9.5,4,1,Maria Julia,cartão_credito,38.0
261.850.473-90,18:59,01/07/2023,Farinha,2.7,3,11,Maria Luiza,pix,8.1
824.170.965-01,12:10,17/07/2023,Arroz,21.7,9,7,Maria Julia,pix,195.3
207.651.839-86,10:48,24/07/2023,Vinho,17.7,5,5,Milena,cartão_debito,88.5
984.013.257-14,09:09,21/07/2023,Picanha,50.4,4,2,Ana,pix,201.6
418.907.352-05,19:16,01/07/2023,Esponja de aço,5.5,4,19,Maria Julia,pix,22.0
984.013.257-14,11:41,15/07/2023,Cerveja,7.5,5,3,Milena,pix,37.5
531.480.729-79,18:39,24/07/2023,File de frango,19.2,6,17,Maria Luiza,dinheiro,115.2
921.543.870-04,10:17,15/07/2023,Gelatina,2.4,9,15,Maria Luiza,dinheiro,21.6
207.651.839-86,19:42,07/07/2023,Detergente liquido,2.5,10,9,Milena,pix,25.0
065.138.274-26,18:16,10/07/2023,Vinho,17.7,10,2,Maria Julia,cartão_credito,177.0
802.613.579-21,12:08,22/07/2023,Vinho,17.7,6,9,Maria Luiza,dinheiro,106.2
738.596.420-65,20:16,12/07/2023,Sal,2.3,4,17,Caroline,dinheiro,9.2
426.301.598-33,16:39,20/07/2023,Farinha,2.7,5,14,Ana,cartão_debito,13.5
065.138.274-26,16:03,04/07/2023,Vinho,17.7,4,4,Stephany,cartão_debito,70.8
138.456.920-06,20:21,26/07/2023,Arroz,21.7,5,21,Maria Cecília,cartão_debito,108.5
985.364.701-00,14:53,15/07/2023,Tomate,8.2,10,8,Stephany,dinheiro,82.0
827.963.014-78,09:52,29/07/2023,Gelatina,2.4,6,9,Brenda,pix,14.4
901.765.842-85,09:28,02/07/2023,Sal,2.3,10,2,Caroline,pix,23.0
426.301.598-33,21:11,11/07/2023,Feijão,15.5,5,19,Natália,cartão_credito,77.5
723.510.694-80,22:43,20/07/2023,Cenoura,7.1,2,3,Natália,cartão_debito,14.2
462.179.385-37,11:19,04/07/2023,Arroz,21.7,4,14,Isadora,dinheiro,86.8
906.172.385-02,14:40,27/07/2023,Cenoura,7.1,8,6,Brenda,pix,56.8
846.732.951-37,08:23,06/07/2023,Sabonete,3.5,2,17,Natália,cartão_debito,7.0
982.546.103-98,17:00,27/07/2023,Cenoura,7.1,7,14,Milena,dinheiro,49.7
645.312.987-64,16:27,26/07/2023,Gelatina,2.4,2,10,Natália,cartão_credito,4.8
984.013.257-14,17:29,25/07/2023,Sal,2.3,6,15,Stephany,cartão_debito,13.8
329.801.564-42,18:12,25/07/2023,Picanha,50.4,10,21,Stephany,cartão_credito,504.0
207.651.839-86,17:01,05/07/2023,Cafe,9.5,6,15,Caroline,pix,57.0
762.945.831-28,20:05,30/07/2023,Sal,2.3,3,13,Natália,cartão_debito,6.9
785.146.023-90,16:12,17/07/2023,Ovos,18.2,8,2,Maria Luiza,cartão_credito,145.6
261.850.473-90,11:46,30/07/2023,Ovos,18.2,1,16,Isadora,pix,18.2
695.281.740-94,09:12,30/07/2023,Linguiça frango,9.7,10,12,Maria Luiza,cartão_credito,97.0
860.357.192-95,10:13,24/07/2023,Óleo de cozinha,8.9,10,17,Maria Cecília,cartão_credito,89.0
138.456.920-06,13:38,27/07/2023,Picanha,50.4,3,16,Maria Julia,pix,151.2
824.170.965-01,17:28,20/07/2023,Gelatina,2.4,10,10,Maria Luiza,cartão_credito,24.0
436.891.750-20,15:33,17/07/2023,Cerveja,7.5,2,21,Maria Julia,pix,15.0
065.138.274-26,16:27,10/07/2023,Esponja de aço,5.5,10,16,Milena,cartão_debito,55.0
752.631.049-52,20:08,19/07/2023,Sal,2.3,1,10,Stephany,cartão_debito,2.3
937.615.420-70,11:45,08/07/2023,Cenoura,7.1,7,20,Maria Luiza,cartão_credito,49.7
041.639.752-25,19:54,05/07/2023,Cafe,9.5,9,20,Brenda,pix,85.5
